PUNTO,ESTE,NORTE,h
164,364751.6394,8305370.678,4289
165,365251.6394,8305370.678,4136
166,365751.6394,8305370.678,4049
167,366251.6394,8305370.678,4032
168,366751.6394,8305370.678,4117
169,367251.6394,8305370.678,4320
170,367751.6394,8305370.678,4162
171,368251.6394,8305370.678,3995
172,368751.6394,8305370.678,3918
173,369251.6394,8305370.678,3844
174,369751.6394,8305370.678,3843
175,370251.6394,8305370.678,3842
176,370751.6394,8305370.678,3840
177,371251.6394,8305370.678,3838
178,371751.6394,8305370.678,3840
179,372251.6394,8305370.678,3838
180,372751.6394,8305370.678,3839
181,373251.6394,8305370.678,3841
182,373751.6394,8305370.678,3837
183,374251.6394,8305370.678,3837
184,374751.6394,8305370.678,3837
185,375251.6394,8305370.678,3837
186,375751.6394,8305370.678,3835
187,376251.6394,8305370.678,3834
188,376751.6394,8305370.678,3833
189,377251.6394,8305370.678,3835
190,377751.6394,8305370.678,3834
191,378251.6394,8305370.678,3839
192,378751.6394,8305370.678,3840
193,379251.6394,8305370.678,3836
194,379751.6394,8305370.678,3829
195,380251.6394,8305370.678,3828
196,380751.6394,8305370.678,3831
197,381251.6394,8305370.678,3826
198,381751.6394,8305370.678,3834
199,382251.6394,8305370.678,3837
200,382751.6394,8305370.678,3836
201,383251.6394,8305370.678,3836
202,383751.6394,8305370.678,3837
203,384251.6394,8305370.678,3827
204,384751.6394,8305370.678,3834
205,385251.6394,8305370.678,3837
206,385751.6394,8305370.678,3834
207,386251.6394,8305370.678,3830
208,386751.6394,8305370.678,3832
209,387251.6394,8305370.678,3827
210,387751.6394,8305370.678,3825
211,388251.6394,8305370.678,3828
212,388751.6394,8305370.678,3828
213,389251.6394,8305370.678,3834
214,389751.6394,8305370.678,3836
215,390251.6394,8305370.678,3843
216,390751.6394,8305370.678,3864
217,391251.6394,8305370.678,3894
218,391751.6394,8305370.678,3989
219,392251.6394,8305370.678,3945
220,392751.6394,8305370.678,3963
221,393251.6394,8305370.678,3938
222,393751.6394,8305370.678,3946
223,394251.6394,8305370.678,3845
224,394751.6394,8305370.678,3838
225,395251.6394,8305370.678,3830
226,395751.6394,8305370.678,3826
227,396251.6394,8305370.678,3821
228,396751.6394,8305370.678,3820
229,397251.6394,8305370.678,3820
230,397751.6394,8305370.678,3821
231,398251.6394,8305370.678,3822
232,398751.6394,8305370.678,3822
233,399251.6394,8305370.678,3822
234,399751.6394,8305370.678,3820
235,400251.6394,8305370.678,3821
236,400751.6394,8305370.678,3821
237,401251.6394,8305370.678,3819
238,362251.6394,8304870.678,4077
239,362751.6394,8304870.678,4124
240,363251.6394,8304870.678,4122
241,363751.6394,8304870.678,4164
242,364251.6394,8304870.678,4188
243,364751.6394,8304870.678,4249
244,365251.6394,8304870.678,4312
245,365751.6394,8304870.678,4193
246,366251.6394,8304870.678,4171
247,366751.6394,8304870.678,4199
248,367251.6394,8304870.678,4319
249,367751.6394,8304870.678,4286
250,368251.6394,8304870.678,4106
251,368751.6394,8304870.678,3970
252,369251.6394,8304870.678,3883
253,369751.6394,8304870.678,3843
254,370251.6394,8304870.678,3840
255,370751.6394,8304870.678,3841
256,371251.6394,8304870.678,3839
257,371751.6394,8304870.678,3841
258,372251.6394,8304870.678,3839
259,372751.6394,8304870.678,3838
260,373251.6394,8304870.678,3840
261,373751.6394,8304870.678,3835
262,374251.6394,8304870.678,3839
263,374751.6394,8304870.678,3837
264,375251.6394,8304870.678,3838
265,375751.6394,8304870.678,3838
266,376251.6394,8304870.678,3834
267,376751.6394,8304870.678,3831
268,377251.6394,8304870.678,3834
269,377751.6394,8304870.678,3832
270,378251.6394,8304870.678,3837
271,378751.6394,8304870.678,3840
272,379251.6394,8304870.678,3841
273,379751.6394,8304870.678,3837
274,380251.6394,8304870.678,3837
275,380751.6394,8304870.678,3829
276,381251.6394,8304870.678,3830
277,381751.6394,8304870.678,3828
278,382251.6394,8304870.678,3834
279,382751.6394,8304870.678,3835
280,383251.6394,8304870.678,3835
281,383751.6394,8304870.678,3830
282,384251.6394,8304870.678,3831
283,384751.6394,8304870.678,3830
284,385251.6394,8304870.678,3837
285,385751.6394,8304870.678,3832
286,386251.6394,8304870.678,3828
287,386751.6394,8304870.678,3831
288,387251.6394,8304870.678,3823
289,387751.6394,8304870.678,3823
290,388251.6394,8304870.678,3828
291,388751.6394,8304870.678,3829
292,389251.6394,8304870.678,3832
293,389751.6394,8304870.678,3842
294,390251.6394,8304870.678,3843
295,390751.6394,8304870.678,3852
296,391251.6394,8304870.678,3866
297,391751.6394,8304870.678,3894
298,392251.6394,8304870.678,4017
299,392751.6394,8304870.678,4027
300,393251.6394,8304870.678,4009
301,393751.6394,8304870.678,3921
302,394251.6394,8304870.678,3852
303,394751.6394,8304870.678,3846
304,395251.6394,8304870.678,3833
305,395751.6394,8304870.678,3827
306,396251.6394,8304870.678,3824
307,396751.6394,8304870.678,3819
308,397251.6394,8304870.678,3820
309,397751.6394,8304870.678,3820
310,398251.6394,8304870.678,3820
311,398751.6394,8304870.678,3822
312,399251.6394,8304870.678,3821
313,399751.6394,8304870.678,3822
314,400251.6394,8304870.678,3820
315,400751.6394,8304870.678,3823
316,401251.6394,8304870.678,3821
317,362251.6394,8304370.678,4096
318,362751.6394,8304370.678,4084
319,363251.6394,8304370.678,4110
320,363751.6394,8304370.678,4073
321,364251.6394,8304370.678,4083
322,364751.6394,8304370.678,4123
323,365251.6394,8304370.678,4189
324,365751.6394,8304370.678,4248
325,366251.6394,8304370.678,4321
326,366751.6394,8304370.678,4316
327,367251.6394,8304370.678,4390
328,367751.6394,8304370.678,4371
329,368251.6394,8304370.678,4269
330,368751.6394,8304370.678,4132
331,369251.6394,8304370.678,3943
332,369751.6394,8304370.678,3881
333,370251.6394,8304370.678,3845
334,370751.6394,8304370.678,3839
335,371251.6394,8304370.678,3840
336,371751.6394,8304370.678,3840
337,372251.6394,8304370.678,3841
338,372751.6394,8304370.678,3841
339,373251.6394,8304370.678,3841
340,373751.6394,8304370.678,3839
341,374251.6394,8304370.678,3838
342,374751.6394,8304370.678,3841
343,375251.6394,8304370.678,3837
344,375751.6394,8304370.678,3836
345,376251.6394,8304370.678,3834
346,376751.6394,8304370.678,3834
347,377251.6394,8304370.678,3834
348,377751.6394,8304370.678,3832
349,378251.6394,8304370.678,3835
350,378751.6394,8304370.678,3836
351,379251.6394,8304370.678,3836
352,379751.6394,8304370.678,3839
353,380251.6394,8304370.678,3839
354,380751.6394,8304370.678,3835
355,381251.6394,8304370.678,3830
356,381751.6394,8304370.678,3828
357,382251.6394,8304370.678,3836
358,382751.6394,8304370.678,3833
359,383251.6394,8304370.678,3830
360,383751.6394,8304370.678,3828
361,384251.6394,8304370.678,3832
362,384751.6394,8304370.678,3832
363,385251.6394,8304370.678,3829
364,385751.6394,8304370.678,3828
365,386251.6394,8304370.678,3824
366,386751.6394,8304370.678,3826
367,387251.6394,8304370.678,3825
368,387751.6394,8304370.678,3831
369,388251.6394,8304370.678,3829
370,388751.6394,8304370.678,3832
371,389251.6394,8304370.678,3835
372,389751.6394,8304370.678,3838
373,390251.6394,8304370.678,3860
374,390751.6394,8304370.678,3856
375,391251.6394,8304370.678,3858
376,391751.6394,8304370.678,3877
377,392251.6394,8304370.678,3972
378,392751.6394,8304370.678,4029
379,393251.6394,8304370.678,3998
380,393751.6394,8304370.678,3893
381,394251.6394,8304370.678,3876
382,394751.6394,8304370.678,3876
383,395251.6394,8304370.678,3843
384,395751.6394,8304370.678,3828
385,396251.6394,8304370.678,3827
386,396751.6394,8304370.678,3819
387,397251.6394,8304370.678,3824
388,397751.6394,8304370.678,3822
389,398251.6394,8304370.678,3820
390,398751.6394,8304370.678,3822
391,399251.6394,8304370.678,3820
392,399751.6394,8304370.678,3822
393,400251.6394,8304370.678,3821
394,400751.6394,8304370.678,3824
395,401251.6394,8304370.678,3822
396,362251.6394,8303870.678,4206
397,362751.6394,8303870.678,4140
398,363251.6394,8303870.678,4111
399,363751.6394,8303870.678,4097
400,364251.6394,8303870.678,4079
401,364751.6394,8303870.678,4033
402,365251.6394,8303870.678,4061
403,365751.6394,8303870.678,4107
404,366251.6394,8303870.678,4201
405,366751.6394,8303870.678,4336
406,367251.6394,8303870.678,4515
407,367751.6394,8303870.678,4394
408,368251.6394,8303870.678,4382
409,368751.6394,8303870.678,4223
410,369251.6394,8303870.678,4025
411,369751.6394,8303870.678,3960
412,370251.6394,8303870.678,3849
413,370751.6394,8303870.678,3841
414,371251.6394,8303870.678,3840
415,371751.6394,8303870.678,3902
416,372251.6394,8303870.678,3856
